date,return
2021-12-17,-0.01209577
2021-12-20,-0.00912061
2021-12-21,0.01968595
2021-12-22,0.00766442
2021-12-23,0.00514208
2021-12-27,0.01517977
2021-12-28,-0.00036761
2021-12-29,0.00062544
2021-12-30,-0.00390075
2021-12-31,-0.00013962
2022-01-03,0.00783882
2022-01-04,0.0058844
2022-01-05,-0.01371688
2022-01-06,0.00108856
2022-01-07,-0.00181641
2022-01-10,-0.00308674
2022-01-11,0.01118431
2022-01-12,0.00372063
2022-01-13,-0.00864562
2022-01-14,0.00500066
2022-01-18,-0.017291
2022-01-19,-0.00834482
2022-01-20,-0.01160933
2022-01-21,-0.0140503
2022-01-24,0.00230131
2022-01-25,-0.00815681
2022-01-26,-0.0017409
2022-01-27,-0.00634801
2022-01-28,0.01548522
2022-01-31,0.01933023
2022-02-01,0.00765381
2022-02-02,0.01181244
2022-02-03,-0.01847734
2022-02-04,0.00209755
2022-02-07,0.00078601
2022-02-08,0.00501834
2022-02-09,0.01729614
2022-02-10,-0.02074781
2022-02-11,-0.01286182
2022-02-14,-0.00761976
2022-02-15,0.0149892
2022-02-16,0.00278301
2022-02-17,-0.0172706
2022-02-18,-0.00728329
2022-02-22,-0.00806045
2022-02-23,-0.01308995
2022-02-24,0.01375866
2022-02-25,0.02297346
2022-02-28,0.0040763
2022-03-01,-0.01185706
2022-03-02,0.01987596
2022-03-03,-0.00247351
2022-03-04,-0.00114159
2022-03-07,-0.01542527
2022-03-08,-0.00096234
2022-03-09,0.01522673
2022-03-10,-0.00078527
2022-03-11,-0.01112211
2022-03-14,-0.01221814
2022-03-15,0.01343821
2022-03-16,0.01686097
2022-03-17,0.01499669
2022-03-18,0.00593932
2022-03-21,0.00553156
2022-03-22,0.00624261
2022-03-23,-0.00857958
2022-03-24,0.01617669
2022-03-25,0.00665179
2022-03-28,0.00054913
2022-03-29,0.01170853
2022-03-30,-0.00321932
2022-03-31,-0.01249296
2022-04-01,0.00163482
2022-04-04,0.00358254
2022-04-05,-0.01430385
2022-04-06,-0.00322074
2022-04-07,0.00616849
2022-04-08,0.00052223
2022-04-11,-0.01783652
2022-04-12,0.00056293
2022-04-13,0.01262804
2022-04-14,-0.00899356
2022-04-18,0.0018179
2022-04-19,0.01083777
2022-04-20,0.00408268
2022-04-21,-0.02043257
2022-04-22,-0.02304101
2022-04-25,-0.00185563
2022-04-26,-0.02139445
2022-04-27,0.00319822
2022-04-28,0.02611344
2022-04-29,-0.03185165
2022-05-02,0.00687123
2022-05-03,0.00898824
2022-05-04,0.03014134
2022-05-05,-0.0286821
2022-05-06,0.0010142
2022-05-09,-0.03796373
2022-05-10,0.00455533
2022-05-11,-0.00881704
2022-05-12,-0.00197306
2022-05-13,0.02748429
2022-05-16,0.00152567
2022-05-17,0.02270038
2022-05-18,-0.03190227
2022-05-19,-0.00228753
2022-05-20,0.00101638
2022-05-23,0.01563281
2022-05-24,-0.00372465
2022-05-25,0.01066804
2022-05-26,0.01666335
2022-05-27,0.02278584
2022-05-31,-0.01008648
2022-06-01,-0.00450976
2022-06-02,0.01658445
2022-06-03,-0.01012696
2022-06-06,0.00175382
2022-06-07,0.0138626
2022-06-08,-0.01288678
2022-06-09,-0.02304595
2022-06-10,-0.02436552
2022-06-13,-0.04365638
2022-06-14,-0.00508057
2022-06-15,0.0085084
2022-06-16,-0.03679612
2022-06-17,-0.00820801
2022-06-21,0.02628484
2022-06-22,-0.00797281
2022-06-23,0.00019009
2022-06-24,0.02854119
2022-06-27,0.00306772
2022-06-28,-0.00918938
2022-06-29,-0.00841795
2022-06-30,-0.00642156
2022-07-01,0.00596227
2022-07-05,-0.01403532
2022-07-06,0.00257727
2022-07-07,0.02029164
2022-07-08,0.00094004
2022-07-11,-0.00980091
2022-07-12,-0.00728827
2022-07-13,-0.00252545
2022-07-14,-0.00051531
2022-07-15,0.01455157
2022-07-18,-0.00362437
2022-07-19,0.02816973
2022-07-20,0.00513545
2022-07-21,0.00491077
2022-07-22,-0.00777342
2022-07-25,0.00691512
2022-07-26,-0.00661159
2022-07-27,0.02382305
2022-07-28,0.01706107
2022-07-29,0.0163025
2022-08-01,-0.00488955
2022-08-02,-0.00515913
2022-08-03,0.00797983
2022-08-04,-0.0035467
2022-08-05,0.0019565
2022-08-08,-0.00150574
2022-08-09,-0.0049854
2022-08-10,0.01895797
2022-08-11,0.00499942
2022-08-12,0.01644283
2022-08-15,0.00073936
2022-08-16,-0.00044295
2022-08-17,-0.00733672
2022-08-18,0.00779253
2022-08-19,-0.01150535
2022-08-22,-0.01823517
2022-08-23,0.00486194
2022-08-24,0.00610458
2022-08-25,0.01507457
2022-08-26,-0.03050287
2022-08-29,-0.00077159
2022-08-30,-0.0148473
2022-08-31,-0.00734621
2022-09-01,-0.00535932
2022-09-02,-0.0065454
2022-09-06,-0.00413655
2022-09-07,0.01524587
2022-09-08,0.00629599
2022-09-09,0.01580997
2022-09-12,0.00986677
2022-09-13,-0.03880205
2022-09-14,0.00891352
2022-09-15,-0.01647979
2022-09-16,-0.00843059
2022-09-19,0.0072966
2022-09-20,-0.00938612
2022-09-21,-0.01467076
2022-09-22,-0.0092015
2022-09-23,-0.02593876
2022-09-26,-0.01363801
2022-09-27,-0.00053204
2022-09-28,0.02162696
2022-09-29,-0.02155
2022-09-30,-0.01368011
2022-10-03,0.03468618
2022-10-04,0.03273388
2022-10-05,0.00063946
2022-10-06,-0.00950466
2022-10-07,-0.02744346
2022-10-10,-0.01326571
2022-10-11,-0.00912953
2022-10-12,-0.00836096
2022-10-13,0.02812199
2022-10-14,-0.02685654
2022-10-17,0.02327129
2022-10-18,0.01066807
2022-10-19,-0.00028278
2022-10-20,-0.00590607
2022-10-21,0.02645902
2022-10-24,0.00771527
2022-10-25,0.01383194
2022-10-26,-0.00046836
2022-10-27,-0.00140347
2022-10-28,0.02333129
2022-10-31,-0.00704574
2022-11-01,0.00244221
2022-11-02,-0.02229639
2022-11-03,-0.00214242
2022-11-04,0.01877677
2022-11-07,0.00884778
2022-11-08,0.0080968
2022-11-09,-0.02309279
2022-11-10,0.05339675
2022-11-11,0.01185289
2022-11-14,-0.00688926
2022-11-15,0.01121147
2022-11-16,-0.01182661
2022-11-17,-0.00303709
2022-11-18,0.00538447
2022-11-21,-0.00623322
2022-11-22,0.01741392
2022-11-23,0.00486386
2022-11-25,-0.00087208
2022-11-28,-0.01873947
2022-11-29,0.00072011
2022-11-30,0.02946409
2022-12-01,-0.00110669
2022-12-02,-0.00357236
2022-12-05,-0.01733776
2022-12-06,-0.01411862
2022-12-07,-0.00163779
2022-12-08,0.00832137
2022-12-09,-0.00885693
2022-12-12,0.01795578
2022-12-13,0.00913363
2022-12-14,-0.00562938
2022-12-15,-0.02191905
2022-12-16,-0.01034569
2022-12-19,-0.00657682
2022-12-20,0.00280526
2022-12-21,0.01740709
2022-12-22,-0.01783684
2022-12-23,0.00913035
2022-12-27,-0.00039245
2022-12-28,-0.01368288
2022-12-29,0.01681383
2022-12-30,-0.00257557
2023-01-03,-0.00839837
2023-01-04,0.00802267
2023-01-05,-0.00960534
2023-01-06,0.0261505
2023-01-09,0.00417756
2023-01-10,0.00662128
2023-01-11,0.00882082
2023-01-12,0.00657653
2023-01-13,0.00149763
2023-01-17,-0.00111986
2023-01-18,-0.01574461
2023-01-19,-0.00702337
2023-01-20,0.01687777
2023-01-23,0.01440838
2023-01-24,-0.00018369
2023-01-25,-0.00181415
2023-01-26,0.01146757
2023-01-27,-0.00152486
2023-01-30,-0.01346375
2023-01-31,0.01127921
2023-02-01,0.01151912
2023-02-02,0.00455217
2023-02-03,-0.01200444
2023-02-06,-0.00566802
2023-02-07,0.01597868
2023-02-08,-0.01201679
2023-02-09,-0.00482436
2023-02-10,0.00842163
2023-02-13,0.00804843
2023-02-14,0.00294465
2023-02-15,0.00061598
2023-02-16,-0.01381229
2023-02-17,-0.00683158
2023-02-21,-0.02056173
2023-02-22,-0.00399261
2023-02-23,0.01072436
2023-02-24,-0.00783388
2023-02-27,0.00264968
2023-02-28,-0.00642975
2023-03-01,0.00044794
2023-03-02,0.01001724
2023-03-03,0.01500001
2023-03-06,-0.00226209
2023-03-07,-0.01569136
2023-03-08,0.00463082
2023-03-09,-0.01355002
2023-03-10,-0.01486304
2023-03-13,-0.0009084
2023-03-14,0.01473819
2023-03-15,-0.0149489
2023-03-16,0.01772958
2023-03-17,-0.00950091
2023-03-20,0.01032165
2023-03-21,0.00915742
2023-03-22,-0.01568849
2023-03-23,0.00012493
2023-03-24,0.00383453
2023-03-27,0.00384863
2023-03-28,0.00314115
2023-03-29,0.01684302
2023-03-30,0.00818834
2023-03-31,0.00979174
2023-04-03,0.00688929
2023-04-04,-0.01104126
2023-04-05,-0.00067194
2023-04-06,-0.00013459
2023-04-10,0.00511918
2023-04-11,0.00245225
2023-04-12,-0.00288457
2023-04-13,0.00945892
2023-04-14,-0.00387145
2023-04-17,0.00026974
2023-04-18,0.00018534
2023-04-19,-0.00175628
2023-04-20,-0.00371363
2023-04-21,-0.00198892
2023-04-24,0.00212802
2023-04-25,-0.01598475
2023-04-26,-0.00561187
2023-04-27,0.01278445
2023-04-28,0.01138109
2023-05-01,-0.00074851
2023-05-02,-0.01519401
2023-05-03,-0.00731804
2023-05-04,-0.00374652
2023-05-05,0.01895134
2023-05-08,0.00010652
2023-05-09,-0.0012178
2023-05-10,0.00264835
2023-05-11,-0.00818505
2023-05-12,0.00055087
2023-05-15,0.00492501
2023-05-16,-0.01207643
2023-05-17,0.01231094
2023-05-18,0.00894186
2023-05-19,-0.00027276
2023-05-22,0.00225075
2023-05-23,-0.00777648
2023-05-24,-0.00799519
2023-05-25,0.01172761
2023-05-26,0.01216198
2023-05-30,-0.00404366
2023-05-31,-0.00585311
2023-06-01,0.01379395
2023-06-02,0.01485848
2023-06-05,-0.00215707
2023-06-06,0.00149235
2023-06-07,0.00524085
2023-06-08,0.00606038
2023-06-09,0.00025
2023-06-12,0.01052178
2023-06-13,0.00601401
2023-06-14,-0.00039516
2023-06-15,0.00952278
2023-06-16,-0.00146986
2023-06-20,-0.00867061
2023-06-21,-0.00330756
2023-06-22,-0.00353427
2023-06-23,-0.01091849
2023-06-26,0.00272502
2023-06-27,0.01152338
2023-06-28,-0.00131163
2023-06-29,0.00443045
2023-06-30,0.01082415
2023-07-03,0.00235254
2023-07-05,-0.00497175
2023-07-06,-0.01255051
2023-07-07,0.00337048
2023-07-10,0.00658174
2023-07-11,0.00958356
2023-07-12,0.00983313
2023-07-13,0.00832002
2023-07-14,-0.00815714
2023-07-17,0.00345231
2023-07-18,0.00557642
2023-07-19,0.00066271
2023-07-20,-0.00283802
2023-07-21,0.0026892
2023-07-24,0.00359565
2023-07-25,0.00667679
2023-07-26,-0.00283917
2023-07-27,-0.00671356
2023-07-28,0.00837365
2023-07-31,0.00670217
2023-08-01,-0.00317746
2023-08-02,-0.01516844
2023-08-03,-0.00344614
2023-08-04,-0.00293578
2023-08-07,0.00748056
2023-08-08,-0.00273161
2023-08-09,-0.00293491
2023-08-10,-0.00099413
2023-08-11,0.00058908
2023-08-14,0.00554838
2023-08-15,-0.01381245
2023-08-16,-0.00690387
2023-08-17,-0.00416902
2023-08-18,0.00545021
2023-08-21,0.0097606
2023-08-22,-0.00338999
2023-08-23,0.00979964
2023-08-24,-0.01428943
2023-08-25,0.00818423
2023-08-28,0.00675514
2023-08-29,0.01082844
2023-08-30,0.00398598
2023-08-31,-0.00261304
2023-09-01,0.00600364
2023-09-05,-0.00191301
2023-09-06,-0.00566362
2023-09-07,-0.00409369
2023-09-08,0.00217453
2023-09-11,0.00265956
2023-09-12,-0.00114627
2023-09-13,0.00406327
2023-09-14,0.01168911
2023-09-15,-0.01121223
2023-09-18,0.00304472
2023-09-19,-0.00582847
2023-09-20,-0.00723773
2023-09-21,-0.01530545
2023-09-22,0.00518621
2023-09-25,0.00790182
2023-09-26,-0.01677795
2023-09-27,0.00307587
2023-09-28,0.00598598
2023-09-29,-0.00627927
2023-10-02,-0.01218779
2023-10-03,-0.00968298
2023-10-04,-0.00025992
2023-10-05,-8.817e-05
2023-10-06,0.01448135
2023-10-09,0.00815544
2023-10-10,0.00858948
2023-10-11,0.00269893
2023-10-12,-0.00570175
2023-10-13,-0.00132392
2023-10-16,0.00705112
2023-10-17,0.00106272
2023-10-18,-0.01056451
2023-10-19,-0.00477905
2023-10-20,-0.0130951
2023-10-23,-0.00385097
2023-10-24,0.00844954
2023-10-25,-0.01120986
2023-10-26,-0.00802274
2023-10-27,-0.00984061
2023-10-30,0.00812908
2023-10-31,0.00873143
2023-11-01,0.01089812
2023-11-02,0.02114553
2023-11-03,0.00509603
2023-11-06,-0.00287577
2023-11-07,-0.00121178
2023-11-08,-0.00332111
2023-11-09,-0.00381926
2023-11-10,0.01644045
2023-11-13,0.00037508
2023-11-14,0.0221548
2023-11-15,-0.00190716
