ret,vol,sharpe,feasible
0.18623,0.182485,0.822262,False
0.15241,0.158098,0.735178,True
0.205862,0.186935,0.907708,False
0.180325,0.186113,0.774499,False
0.16024,0.165209,0.750924,False
0.182154,0.168482,0.866409,False
0.167077,0.171764,0.762075,False
0.189606,0.200677,0.764545,False
0.183453,0.183313,0.803395,False
0.1595,0.163445,0.754501,False
0.206327,0.19333,0.880082,False
0.166159,0.167294,0.77695,False
0.196527,0.18749,0.855232,False
0.158901,0.158763,0.772983,True
0.154275,0.160586,0.735397,False
0.162692,0.173579,0.728846,False
0.161214,0.160794,0.7776,False
0.160131,0.168097,0.737376,True
0.16893,0.179172,0.740904,False
0.147893,0.166772,0.669854,False
0.177711,0.178801,0.791559,False
0.153174,0.169535,0.690089,False
0.172064,0.173279,0.784195,False
0.194401,0.191012,0.82833,False
0.160606,0.173952,0.71529,True
0.16927,0.179235,0.742542,False
0.182455,0.18284,0.800013,False
0.179561,0.183822,0.779999,False
0.189272,0.169072,0.905482,False
0.169628,0.178327,0.748332,False
0.156076,0.167009,0.717901,False
0.160518,0.165062,0.753279,True
0.166785,0.175809,0.742878,False
0.162435,0.164267,0.768596,False
0.179575,0.19329,0.741864,False
0.180677,0.190518,0.758441,False
0.155154,0.172465,0.689844,False
0.182902,0.178476,0.822086,False
0.181216,0.172841,0.839134,False
0.165208,0.167808,0.768905,False
0.155144,0.164163,0.724668,False
0.137186,0.162872,0.620157,False
0.164412,0.1755,0.730665,False
0.178427,0.171711,0.828409,False
0.16446,0.159473,0.804399,False
0.17544,0.174506,0.798024,False
0.161207,0.163247,0.765874,False
0.177406,0.188855,0.747799,False
0.166403,0.163955,0.794261,False
0.179023,0.172876,0.826274,False
0.176967,0.179302,0.785195,False
0.190503,0.18977,0.813212,False
0.159324,0.163681,0.752343,False
0.15657,0.167941,0.716861,False
0.157643,0.157934,0.769075,False
0.195435,0.187487,0.849417,False
0.1857,0.196984,0.759044,False
0.180721,0.186215,0.776202,False
0.176702,0.174921,0.803349,False
0.173745,0.178923,0.768852,False
0.170564,0.172421,0.779396,False
0.199514,0.182122,0.896836,False
0.15413,0.167242,0.705269,True
0.180116,0.17903,0.803976,False
0.142801,0.16362,0.651636,False
0.170535,0.170781,0.78671,False
0.170568,0.166884,0.805278,False
0.174066,0.171178,0.80551,False
0.137377,0.150462,0.672577,False
0.170897,0.170941,0.788093,False
0.153671,0.166981,0.70362,True
0.186237,0.17783,0.843821,False
0.192165,0.181268,0.860524,False
0.1639,0.16504,0.773871,False
0.161245,0.162497,0.769647,True
0.174213,0.173586,0.795186,False
0.198444,0.185441,0.875019,False
0.202702,0.184796,0.90111,False
0.170024,0.158166,0.846223,False
0.170703,0.169349,0.794354,False
0.150832,0.15485,0.740407,False
0.147528,0.165497,0.672809,True
0.167206,0.175147,0.748093,False
0.137966,0.155245,0.65565,False
0.213588,0.20043,0.885138,False
0.160698,0.173497,0.717693,False
0.173324,0.179524,0.763932,False
0.156107,0.168677,0.710983,True
0.152924,0.157347,0.741954,False
0.157901,0.176029,0.691481,False
0.190384,0.186965,0.824775,False
0.13044,0.161373,0.584113,True
0.14375,0.163598,0.657525,True
0.200851,0.186407,0.883397,False
0.173506,0.171691,0.799842,False
0.157034,0.159195,0.759153,False
0.14176,0.156326,0.675386,True
0.191185,0.182242,0.850542,True
0.178318,0.182993,0.776737,True
0.165904,0.179571,0.722411,False
0.177648,0.190109,0.744144,False
0.140398,0.158991,0.655494,False
0.158412,0.171466,0.712861,False
0.172605,0.166015,0.821763,False
0.192771,0.182898,0.856166,False
0.171884,0.181932,0.745904,False
0.183101,0.180538,0.813794,False
0.213467,0.188087,0.942581,False
0.180481,0.187896,0.767985,False
0.190562,0.200005,0.771891,False
0.170073,0.163519,0.81882,False
0.17106,0.164763,0.818626,False
0.145434,0.162814,0.671032,True
0.166015,0.170667,0.76075,False
0.150622,0.171387,0.667741,False
0.169146,0.16576,0.802156,False
0.149094,0.162651,0.694209,True
0.164915,0.171621,0.750112,False
0.190254,0.188398,0.817812,False
0.177204,0.194036,0.726792,False
0.197952,0.191883,0.843077,False
0.151508,0.171164,0.67379,True
0.195924,0.189512,0.842926,False
0.171812,0.164354,0.825241,False
0.164017,0.17584,0.72701,False
0.171552,0.170862,0.792289,False
0.212986,0.203966,0.866841,False
0.166698,0.165815,0.787134,False
0.158478,0.182414,0.670439,False
0.16644,0.16329,0.797719,False
0.150793,0.161631,0.709101,False
0.196178,0.18556,0.862246,False
0.17192,0.188219,0.721181,True
0.15233,0.161337,0.719926,False
0.204899,0.195057,0.864975,False
0.167139,0.176793,0.740752,False
0.181587,0.173959,0.835868,False
0.181275,0.181001,0.801625,True
0.212911,0.197299,0.895753,False
0.178129,0.178363,0.79584,False
0.193556,0.176522,0.891539,False
0.191627,0.185511,0.837942,False
0.125942,0.162485,0.552429,True
0.178056,0.173094,0.819647,False
0.153954,0.156313,0.753453,False
0.181272,0.191196,0.758863,False
0.179098,0.177675,0.804378,False
0.176468,0.176308,0.795696,False
0.186359,0.182259,0.823987,False
0.166547,0.171342,0.760856,False
0.169959,0.174832,0.765185,True
0.181732,0.180998,0.804166,False
0.137247,0.165578,0.610386,True
0.187749,0.186012,0.814831,False
0.164287,0.171278,0.747952,True
0.181651,0.189929,0.765923,False
